id,title,domain,status,result_status,url
life-biology-adult-form-of-facetotecta,Adult form of Facetotecta,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/adult-form-of-facetotecta/
life-biology-adult-form-of-planctosphaera-pelagica-a-hemichordate-known-as-of-2023-only-by-its-tornaria-larvae,"Adult form of Planctosphaera pelagica, a hemichordate known, as of 2023, only by its tornaria larvae",life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/adult-form-of-planctosphaera-pelagica-a-hemichordate-known-as-of-2023-only-by-its-tornaria-larvae/
life-biology-arthropod-head-problem,Arthropod head problem,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/arthropod-head-problem/
life-biology-biological-homochirality,Biological homochirality,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/biological-homochirality/
life-biology-biosynthesis,Biosynthesis,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/biosynthesis/
life-biology-blue-whale,Blue whale,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/blue-whale/
life-biology-brightly-colored-bird-eggs,Brightly colored bird eggs,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/brightly-colored-bird-eggs/
life-biology-butterfly-migration,Butterfly migration,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/butterfly-migration/
life-biology-cambrian-explosion,Cambrian explosion,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/cambrian-explosion/
life-biology-can-developing-biological-systems-tell-the-time,Can developing biological systems tell the time?,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/can-developing-biological-systems-tell-the-time/
life-biology-cognition-and-decisions,Cognition and decisions,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/cognition-and-decisions/
life-biology-computational-neuroscience,Computational neuroscience,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/computational-neuroscience/
life-biology-computational-theory-of-mind,Computational theory of mind,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/computational-theory-of-mind/
life-consciousness,Consciousness,life,canonical,partially_addressed,/program/research-agenda/problem-ledger/life/consciousness/
life-biology-darwin-s-abominable-mystery-of-botany-plants,Darwin's abominable mystery of botany/plants,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/darwin-s-abominable-mystery-of-botany-plants/
life-biology-decline-in-average-human-body-temperature-since-the-19th-century,Decline in average human body temperature since the 19th century,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/decline-in-average-human-body-temperature-since-the-19th-century/
life-biology-determinants-of-cell-size,Determinants of cell size,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/determinants-of-cell-size/
life-biology-development-and-evolution-of-the-brain,Development and evolution of the brain,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/development-and-evolution-of-the-brain/
life-biology-diurodrilus,Diurodrilus,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/diurodrilus/
life-biology-ediacaran-biota,Ediacaran biota,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/ediacaran-biota/
life-biology-enzyme-kinetics,Enzyme kinetics,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/enzyme-kinetics/
life-biology-eocyathispongia,Eocyathispongia,life,canonical,not_yet_classified,/program/research-agenda/problem-ledger/life/eocyathispongia/
