publication_id,publication_key,type,status,artifact_availability,release_date,title,canonical_url,website_url,short_url
rn007,research_notes.aesthetic_topology_pre_symbolic_readout,research_note,released,local_pdf,2026-05-15,Aesthetic Topology as Pre-Symbolic Readout,https://panta-rhei.site/publications/research-notes/aesthetic-topology-pre-symbolic-readout/,https://panta-rhei.site/publications/research-notes/aesthetic-topology-pre-symbolic-readout/,https://prrp.site/rn007
wp000,anchor_documents.panta_rhei_at_a_glance,white_paper,released,local_pdf,2026-05-09,Panta Rhei at a Glance,https://panta-rhei.site/publications/anchor-documents/wp000-panta-rhei-at-a-glance/,https://panta-rhei.site/publications/anchor-documents/wp000-panta-rhei-at-a-glance/,https://prrp.site/wp000
wp005,anchor_documents.global_public_good_impact_overview,white_paper,released,local_pdf,2026-05-08,Global Public Good Impact Overview,https://panta-rhei.site/publications/anchor-documents/wp005-global-public-good-impact-overview/,https://panta-rhei.site/publications/anchor-documents/wp005-global-public-good-impact-overview/,https://prrp.site/wp005
wp004,anchor_documents.public_research_observatory_blueprint,white_paper,released,local_pdf,2026-05-08,Public Research Observatory Blueprint,https://panta-rhei.site/publications/anchor-documents/wp004-public-research-observatory-blueprint/,https://panta-rhei.site/publications/anchor-documents/wp004-public-research-observatory-blueprint/,https://prrp.site/wp004
wp003,anchor_documents.taulib_technical_overview,white_paper,released,local_pdf,2026-05-08,TauLib Technical Overview,https://panta-rhei.site/publications/anchor-documents/wp003-taulib-technical-overview/,https://panta-rhei.site/publications/anchor-documents/wp003-taulib-technical-overview/,https://prrp.site/wp003
wp002,anchor_documents.t_theory_executive_synopsis,white_paper,released,local_pdf,2026-05-08,T Theory Executive Synopsis,https://panta-rhei.site/publications/anchor-documents/wp002-t-theory-executive-synopsis/,https://panta-rhei.site/publications/anchor-documents/wp002-t-theory-executive-synopsis/,https://prrp.site/wp002
wp001,anchor_documents.panta_rhei_research_program_executive_overview,white_paper,released,local_pdf,2026-05-08,Panta Rhei Research Program Executive Overview,https://panta-rhei.site/publications/anchor-documents/wp001-panta-rhei-research-program-executive-overview/,https://panta-rhei.site/publications/anchor-documents/wp001-panta-rhei-research-program-executive-overview/,https://prrp.site/wp001
c001,anchor_documents.standing_in_the_inquiry_of_being,charter_essay,released,local_pdf,2026-05-08,Standing in the Inquiry of Being,https://panta-rhei.site/program/about/standing-in-the-inquiry-of-being/,https://panta-rhei.site/program/about/standing-in-the-inquiry-of-being/,https://prrp.site/c001
pgd044,public_good_dossiers.wildfire_smoke_heat_compound_extreme_health_protection,public_good_briefing,released,local_pdf,2026-05-02,"τ for Wildfire, Smoke, Heat, and Compound-Extreme Health Protection",https://panta-rhei.site/publications/research-briefings/public-good/wildfire-smoke-heat-compound-extreme-health-protection/,https://panta-rhei.site/publications/research-briefings/public-good/wildfire-smoke-heat-compound-extreme-health-protection/,https://prrp.site/pgd044
pgd043,public_good_dossiers.wastewater_stormwater_sanitation_circular_reuse,public_good_briefing,released,local_pdf,2026-05-02,"τ for Wastewater, Stormwater, Sanitation, and Circular Water Reuse",https://panta-rhei.site/publications/research-briefings/public-good/wastewater-stormwater-sanitation-circular-reuse/,https://panta-rhei.site/publications/research-briefings/public-good/wastewater-stormwater-sanitation-circular-reuse/,https://prrp.site/pgd043
pgd042,public_good_dossiers.waste_systems_plastics_leakage_zero_waste,public_good_briefing,released,local_pdf,2026-05-02,"τ for Waste Systems, Plastics Leakage, Litter Interception, Municipal/Industrial Waste Operations, and Zero-Waste Transitions",https://panta-rhei.site/publications/research-briefings/public-good/waste-systems-plastics-leakage-zero-waste/,https://panta-rhei.site/publications/research-briefings/public-good/waste-systems-plastics-leakage-zero-waste/,https://prrp.site/pgd042
pgd041,public_good_dossiers.wash_health_facilities_schools_camps_climate_vulnerable_settlements,public_good_briefing,released,local_pdf,2026-05-02,"τ for WASH in Health Facilities, Schools, Camps, and Climate-Vulnerable Settlements",https://panta-rhei.site/publications/research-briefings/public-good/wash-health-facilities-schools-camps-climate-vulnerable-settlements/,https://panta-rhei.site/publications/research-briefings/public-good/wash-health-facilities-schools-camps-climate-vulnerable-settlements/,https://prrp.site/pgd041
pgd040,public_good_dossiers.solar_synchronized_flexible_demand_grid_logistics,public_good_briefing,released,local_pdf,2026-05-02,τ for Solar-Synchronized Flexible Demand and Grid Logistics,https://panta-rhei.site/publications/research-briefings/public-good/solar-synchronized-flexible-demand-grid-logistics/,https://panta-rhei.site/publications/research-briefings/public-good/solar-synchronized-flexible-demand-grid-logistics/,https://prrp.site/pgd040
pgd039,public_good_dossiers.solar_storage_microgrids_critical_infrastructure_resilience,public_good_briefing,released,local_pdf,2026-05-02,"τ for Solar-Plus-Storage, Microgrids, and Critical-Infrastructure Resilience",https://panta-rhei.site/publications/research-briefings/public-good/solar-storage-microgrids-critical-infrastructure-resilience/,https://panta-rhei.site/publications/research-briefings/public-good/solar-storage-microgrids-critical-infrastructure-resilience/,https://prrp.site/pgd039
pgd038,public_good_dossiers.seasonal_planning_disaster_anticipation_food_system_resilience,public_good_briefing,released,local_pdf,2026-05-02,"Tau for Seasonal Planning, Disaster Anticipation, and Food-System Resilience",https://panta-rhei.site/publications/research-briefings/public-good/seasonal-planning-disaster-anticipation-food-system-resilience/,https://panta-rhei.site/publications/research-briefings/public-good/seasonal-planning-disaster-anticipation-food-system-resilience/,https://prrp.site/pgd038
pgd037,public_good_dossiers.river_basin_groundwater_drought_flood_allocation_water_productivity,public_good_briefing,released,local_pdf,2026-05-02,"τ for River-Basin, Groundwater, Drought-Flood Allocation, and Water Productivity",https://panta-rhei.site/publications/research-briefings/public-good/river-basin-groundwater-drought-flood-allocation-water-productivity/,https://panta-rhei.site/publications/research-briefings/public-good/river-basin-groundwater-drought-flood-allocation-water-productivity/,https://prrp.site/pgd037
pgd036,public_good_dossiers.regional_adaptation_sectoral_impact_intelligence,public_good_briefing,released,local_pdf,2026-05-02,Tau for Regional Adaptation Planning and Sectoral Impact Intelligence,https://panta-rhei.site/publications/research-briefings/public-good/regional-adaptation-sectoral-impact-intelligence/,https://panta-rhei.site/publications/research-briefings/public-good/regional-adaptation-sectoral-impact-intelligence/,https://prrp.site/pgd036
pgd035,public_good_dossiers.pv_asset_protection_storm_hardening_long_term_planning,public_good_briefing,released,local_pdf,2026-05-02,"τ for PV Asset Protection, Storm-Hardening, and Long-Term System Planning",https://panta-rhei.site/publications/research-briefings/public-good/pv-asset-protection-storm-hardening-long-term-planning/,https://panta-rhei.site/publications/research-briefings/public-good/pv-asset-protection-storm-hardening-long-term-planning/,https://prrp.site/pgd035
pgd034,public_good_dossiers.precision_public_health_physiology_prevention_safer_therapeutics,public_good_briefing,released,local_pdf,2026-05-02,"τ for Precision Public Health, Physiology-Aware Prevention, and Safer Therapeutics / Response Optimization",https://panta-rhei.site/publications/research-briefings/public-good/precision-public-health-physiology-prevention-safer-therapeutics/,https://panta-rhei.site/publications/research-briefings/public-good/precision-public-health-physiology-prevention-safer-therapeutics/,https://prrp.site/pgd034
pgd033,public_good_dossiers.pest_disease_livestock_stress_early_warning,public_good_briefing,released,local_pdf,2026-05-02,"Tau for Pest, Disease, and Livestock-Stress Early Warning",https://panta-rhei.site/publications/research-briefings/public-good/pest-disease-livestock-stress-early-warning/,https://panta-rhei.site/publications/research-briefings/public-good/pest-disease-livestock-stress-early-warning/,https://prrp.site/pgd033
pgd032,public_good_dossiers.operational_agro_weather_intelligence,public_good_briefing,released,local_pdf,2026-05-02,Tau-Grade Operational Agro-Weather Intelligence,https://panta-rhei.site/publications/research-briefings/public-good/operational-agro-weather-intelligence/,https://panta-rhei.site/publications/research-briefings/public-good/operational-agro-weather-intelligence/,https://prrp.site/pgd032
pgd031,public_good_dossiers.one_health_vector_zoonotic_spillover_climate_outbreaks,public_good_briefing,released,local_pdf,2026-05-02,"Tau-Grade One Health Early Warning for Vector-Borne Disease, Zoonotic Spillover, and Climate-Sensitive Outbreaks",https://panta-rhei.site/publications/research-briefings/public-good/one-health-vector-zoonotic-spillover-climate-outbreaks/,https://panta-rhei.site/publications/research-briefings/public-good/one-health-vector-zoonotic-spillover-climate-outbreaks/,https://prrp.site/pgd031
pgd030,public_good_dossiers.oceans_cryosphere_tipping_long_range_resilience,public_good_briefing,released,local_pdf,2026-05-02,"τ for Oceans, Cryosphere, Tipping Elements, and Long-Range Resilience",https://panta-rhei.site/publications/research-briefings/public-good/oceans-cryosphere-tipping-long-range-resilience/,https://panta-rhei.site/publications/research-briefings/public-good/oceans-cryosphere-tipping-long-range-resilience/,https://prrp.site/pgd030
pgd029,public_good_dossiers.ocean_stewardship_cleanup_marine_emergency_response,public_good_briefing,released,local_pdf,2026-05-02,"τ and Ocean Stewardship, Cleanup, and Marine Emergency Response",https://panta-rhei.site/publications/research-briefings/public-good/ocean-stewardship-cleanup-marine-emergency-response/,https://panta-rhei.site/publications/research-briefings/public-good/ocean-stewardship-cleanup-marine-emergency-response/,https://prrp.site/pgd029
pgd028,public_good_dossiers.ocean_logistics_maritime_routing_port_flow_green_corridors,public_good_briefing,released,local_pdf,2026-05-02,τ and the Ocean Logistics Opportunity,https://panta-rhei.site/publications/research-briefings/public-good/ocean-logistics-maritime-routing-port-flow-green-corridors/,https://panta-rhei.site/publications/research-briefings/public-good/ocean-logistics-maritime-routing-port-flow-green-corridors/,https://prrp.site/pgd028
