bib_key,title,authors,year,entry_type,url
WittenYM,Some remarks on Yang–Mills theory,Edward Witten,various,misc,/bibliography/wittenym/
StacksProject,The Stacks Project,The Stacks Project Authors,ongoing,misc,/bibliography/stacksproject/
MazurTateBSD,The Birch and Swinnerton-Dyer Conjecture,Barry Mazur and John Tate,n.d.,misc,/bibliography/mazurtatebsd/
VoisinHodge,Hodge Theory and Complex Algebraic Geometry,Claire Voisin,n.d.,book,/bibliography/voisinhodge/
DeligneHodge,Hodge Theory,Pierre Deligne,n.d.,misc,/bibliography/delignehodge/
PotentialProfiniteAnalytic,Analytic functions on profinite bundles,"Author, Unknown",n.d.,article,/bibliography/potentialprofiniteanalytic/
Euclid,Elements,Euclid,c. 300 BCE,book,/bibliography/euclid/
MaslenRockmoreVERIFY,Group-theoretic algorithms for the Fourier transform,"Maslen, D. and Rockmore, D.",UNVERIFIED,article,/bibliography/maslenrockmoreverify/
aristotle-de-anima,De Anima (On the Soul),Aristotle,350 BCE,book,/bibliography/aristotle-de-anima/
AuthorYearVERIFY,Constructive Möbius transformations on discrete circles,"Author, Unknown",20XX,article,/bibliography/authoryearverify/
FuchsFuchs26_Primon,Category <math><mi>τ</mi></math> and the Conformal Primon Gas,"Fuchs, Thorsten and Fuchs, Anna-Sophie",2026,article,/bibliography/fuchsfuchs26-primon/
LMFDB,The L‑functions and Modular Forms Database,LMFDB Collaboration,2025,misc,/bibliography/lmfdb/
HartnollYang25,The Conformal Primon Gas at the End of Time,"Hartnoll, Sean A. and Yang, Mao",2025,article,/bibliography/hartnollyang25/
CMS2021SUSY,Search for supersymmetry in final states with disappearing tracks in proton-proton collisions at $=13$ TeV,CMS Collaboration,2024,misc,/bibliography/cms2021susy/
SubstructuralDTT2024,Foundations of Substructural Dependent Type Theory,Daniel Gratzer and Jonathan Sterling,2024,article,/bibliography/substructuraldtt2024/
DESI2024bao,DESI 2024 BAO Results,"DESI Collaboration and Adame, A. G. and others",2024,article,/bibliography/desi2024bao/
Annenkov2023,Two-Level Type Theory and Applications,Danil Annenkov and Paolo Capriotti and Nicolai Kraus and Christian Sattler,2023,article,/bibliography/annenkov2023/
ATLAS2021SUSY,Search for supersymmetry in final states with missing transverse momentum and three or more b-jets in 139 fb$^-1$ of proton-proton collisions at $=13$ TeV with the ATLAS detector,ATLAS Collaboration,2023,misc,/bibliography/atlas2021susy/
BocquetKaposiSattler2023,"For the Metatheory of Type Theory, Internal Sconing Is Enough",Rafaël Bocquet and Ambrus Kaposi and Christian Sattler,2023,article,/bibliography/bocquetkaposisattler2023/
PotentialRecent2023,Discrete residue analogues on finite abelian groups,"Author, A.",2023,article,/bibliography/potentialrecent2023/
Eng2023,An Exegesis of Transcendental Syntax,Boris Eng,2023,phdthesis,/bibliography/eng2023/
Abel2023,"A Graded Modal Dependent Type Theory with a Universe and Erasure, Formalized",Andreas Abel and Nils Anders Danielsson and Andrea Vezzosi,2023,inproceedings,/bibliography/abel2023/
PDG2022,Review of Particle Physics,Particle Data Group,2022,article,/bibliography/pdg2022/
eht2022first,First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,"Event Horizon Telescope Collaboration and Akiyama, Kazunori and others",2022,article,/bibliography/eht2022first/
EHTSgrA2022,First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,Event Horizon Telescope Collaboration,2022,article,/bibliography/ehtsgra2022/
KATRIN2022,Direct neutrino-mass measurement with sub-electronvolt sensitivity,KATRIN Collaboration,2022,article,/bibliography/katrin2022/
riess2022comprehensive,A Comprehensive Measurement of the Local Value of the Hubble Constant with 1 km s<math><mi>⁻¹</mi></math> Mpc<math><mi>⁻¹</mi></math> Uncertainty from the Hubble Space Telescope and the SH0ES Team,"Riess, Adam G. and others",2022,article,/bibliography/riess2022comprehensive/
Coq2021,The Coq Proof Assistant Reference Manual,The Coq Development Team,2021,book,/bibliography/coq2021/
WilliamsStay2021,Native Type Theory,Christian Williams and Michael Stay,2021,article,/bibliography/williamsstay2021/
freedman2021measurements,Measurements of the Hubble Constant: Tensions in Perspective,"Freedman, Wendy L.",2021,article,/bibliography/freedman2021measurements/
NeutronLifetime2021,Improved Measurement of the Free Neutron Lifetime,F. M. Gonzalez and others,2021,article,/bibliography/neutronlifetime2021/
BICEP2021r,"Improved Constraints on Primordial Gravitational Waves using Planck, WMAP, and BICEP/Keck Observations through the 2018 Observing Season",BICEP/Keck Collaboration,2021,article,/bibliography/bicep2021r/
jumper2021,Highly Accurate Protein Structure Prediction with AlphaFold,"Jumper, John and others",2021,article,/bibliography/jumper2021/
CODATA2018,CODATA recommended values of the fundamental physical constants: 2018,Eite Tiesinga and others,2021,article,/bibliography/codata2018/
LMFDB2020,The L-functions and Modular Forms Database,LMFDB Collaboration,2020,misc,/bibliography/lmfdb2020/
PotentialComp2020,Selected works on algorithmic divisor class groups and computational algebraic geometry,Various,2020,misc,/bibliography/potentialcomp2020/
SuperKProton2020,Search for proton decay via <math><mi>p → e⁺π⁰</mi></math> and <math><mi>p → μ⁺π⁰</mi></math> with an enlarged fiducial volume in Super-Kamiokande I-IV,Super-Kamiokande Collaboration,2020,article,/bibliography/superkproton2020/
cao2020,Quantum Biology Revisited,"Cao, Jianshu and Cogdell, Richard J. and Coker, David F. and Duan, Hong-Guang and Hauer, Jürgen and Kleinekathöfer, Ulrich and Jansen, Thomas L. C. and Mančal, Tomáš and Miller, R. J. Dwayne and Ogilvie, Jennifer P. and Prokhorenko, Valentyn I. and Renger, Thomas and Tan, Howe-Siang and Tempelaar, Roel and Thorwart, Michael and Thyrhaug, Erling and Westenhoff, Sebastian and Zigmantas, Donatas",2020,article,/bibliography/cao2020/
Planck2018,Planck 2018 results. VI. Cosmological parameters,Planck Collaboration,2020,article,/bibliography/planck2018/
Planck2018VI,Planck 2018 results. VI. Cosmological parameters,Planck Collaboration,2020,article,/bibliography/planck2018vi/
planck2020cosmological,Planck 2018 Results. VI. Cosmological Parameters,"Planck Collaboration and Aghanim, N. and others",2020,article,/bibliography/planck2020cosmological/
Zworski2017,Mathematical study of scattering resonances,M. Zworski,2020,article,/bibliography/zworski2017/
vanDijkGietelinkOldenziel2020,Gödel Incompleteness through Arithmetic Universes after A.~Joyal,Joost van Dijk and Alexander Gietelink Oldenziel,2020,article,/bibliography/vandijkgietelinkoldenziel2020/
sheldrake2020,"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures","Sheldrake, Merlin",2020,book,/bibliography/sheldrake2020/
AlphaQED2020,Determination of the fine-structure constant with an accuracy of 81 parts per trillion,Léo Morel and others,2020,article,/bibliography/alphaqed2020/
carroll2019something,Something Deeply Hidden: Quantum Worlds and the Emergence of Spacetime,"Carroll, Sean M.",2019,book,/bibliography/carroll2019something/
EHT2019,First M87 Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole,Event Horizon Telescope Collaboration,2019,article,/bibliography/eht2019/
eht2019first,First M87 Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole,"Event Horizon Telescope Collaboration and Akiyama, Kazunori and others",2019,article,/bibliography/eht2019first/
Shulman2019,"All <math><mi>(∞,1)</mi></math>-Toposes Have Strict Univalent Universes",Michael Shulman,2019,article,/bibliography/shulman2019/
vanDokkum2019df4,A Second Galaxy Missing Dark Matter in the NGC 1052 Group,"van Dokkum, Pieter and others",2019,article,/bibliography/vandokkum2019df4/
Linnebo2018,Thin Objects: An Abstractionist Account,Ø ystein Linnebo,2018,book,/bibliography/linnebo2018/
Avigad2018,The Lean Theorem Prover and Its Mathematics Library,Jeremy Avigad and Leonardo de Moura and others,2018,misc,/bibliography/avigad2018/
Parker2018,Measurement of the fine-structure constant as a test of the Standard Model,Richard H. Parker and others,2018,article,/bibliography/parker2018/
Lee2018,Introduction to Riemannian Manifolds,John M. Lee,2018,book,/bibliography/lee2018/
Lairez2018,Creative telescoping for rational functions using the Griffiths–Dwork method,"Lairez, Pierre",2018,article,/bibliography/lairez2018/
vanDokkum2018df2,A galaxy lacking dark matter,"van Dokkum, Pieter and others",2018,article,/bibliography/vandokkum2018df2/
walker2017,Why We Sleep: Unlocking the Power of Sleep and Dreams,"Walker, Matthew P.",2017,book,/bibliography/walker2017/
Caramello2017,"Theories, sites, toposes","Caramello, Olivia",2017,book,/bibliography/caramello2017/
Forstneric2017,Stein manifolds and holomorphic mappings,"Forstnerič, Franc",2017,book,/bibliography/forstneric2017/
Jost2008,Riemannian Geometry and Geometric Analysis,Jürgen Jost,2017,book,/bibliography/jost2008/
lehninger2017,Lehninger Principles of Biochemistry,"Nelson, David L. and Cox, Michael M.",2017,book,/bibliography/lehninger2017/
abbott2017gw170817,GW170817: Observation of Gravitational Waves from a Binary Neutron Star Inspiral,"Abbott, B. P. and others",2017,article,/bibliography/abbott2017gw170817/
riehl2017category,Category Theory in Context,"Riehl, Emily",2017,book,/bibliography/riehl2017category/
JohanssonArb2017,Arb: Efficient arbitrary-precision midpoint-radius interval arithmetic,"Johansson, Fredrik",2017,article,/bibliography/johanssonarb2017/
AltenkirchKaposi2016,Type Theory in Type Theory Using Quotient Inductive Types,Thorsten Altenkirch and Ambrus Kaposi,2016,inproceedings,/bibliography/altenkirchkaposi2016/
Girard2016TS,Transcendental Syntax I: Deterministic Case,Jean-Yves Girard,2016,unpublished,/bibliography/girard2016ts/
Lelli2016sparc,SPARC: Mass Models for 175 Disk Galaxies with Spitzer Photometry and Accurate Rotation Curves,"Lelli, Federico and McGaugh, Stacy S. and Schombert, James M.",2016,article,/bibliography/lelli2016sparc/
McGaugh2016rar,Radial Acceleration Relation in Rotationally Supported Galaxies,"McGaugh, Stacy S. and Lelli, Federico and Schombert, James M.",2016,article,/bibliography/mcgaugh2016rar/
abbott2016observation,Observation of Gravitational Waves from a Binary Black Hole Merger,"Abbott, B. P. and others",2016,article,/bibliography/abbott2016observation/
lodish2016,Molecular Cell Biology,"Lodish, Harvey and Berk, Arnold and Kaiser, Chris A. and Krieger, Monty and Bretscher, Anthony and Ploegh, Hidde and Amon, Angelika and Martin, Kelsey C.",2016,book,/bibliography/lodish2016/
Huybrechts2016,Lectures on K3 Surfaces,"Huybrechts, Daniel",2016,book,/bibliography/huybrechts2016/
tononi2016,Integrated Information Theory: From Consciousness to Its Physical Substrate,"Tononi, Giulio and Boly, Melanie and Massimini, Marcello and Koch, Christof",2016,article,/bibliography/tononi2016/
TaoNSENotes,Finite time blowup for an averaged three-dimensional Navier–Stokes equation,Terence Tao,2016,misc,/bibliography/taonsenotes/
