id,registry_id,title,slug,url,domain,cluster,confidence,book,part,chapter,type,scope,lean_status,registry_url,related_public_surface_count
registry-noteworthy-vi-t03,VI.T03,SelfDesc Closure Theorem,selfdesc-closure-theorem-vi-t03,/results/additional-noteworthy-results/life/selfdesc-closure-theorem-vi-t03/,life,related_existing_surface,high,VI,1,5,theorem,tau-effective,planned,/registry/object/VI.T03/,7
registry-noteworthy-vi-p03,VI.P03,Boundary Instability Prevents Code Closure,boundary-instability-prevents-code-closure-vi-p03,/results/additional-noteworthy-results/life/boundary-instability-prevents-code-closure-vi-p03/,life,related_existing_surface,medium,VI,1,6,proposition,tau-effective,planned,/registry/object/VI.P03/,1
registry-noteworthy-vi-d14,VI.D14,Closure Sub-Class (Loop_rec),closure-sub-class-loop-rec-vi-d14,/results/additional-noteworthy-results/life/closure-sub-class-loop-rec-vi-d14/,life,related_existing_surface,high,VI,1,7,definition,tau-effective,planned,/registry/object/VI.D14/,6
registry-noteworthy-vi-t05,VI.T05,Metabolic Fiber Theorem,metabolic-fiber-theorem-vi-t05,/results/additional-noteworthy-results/life/metabolic-fiber-theorem-vi-t05/,life,related_existing_surface,high,VI,1,7,theorem,tau-effective,planned,/registry/object/VI.T05/,2
registry-noteworthy-vi-t06,VI.T06,Consumer Mixer Uniqueness,consumer-mixer-uniqueness-vi-t06,/results/additional-noteworthy-results/life/consumer-mixer-uniqueness-vi-t06/,life,related_existing_surface,high,VI,1,7,theorem,tau-effective,planned,/registry/object/VI.T06/,4
registry-noteworthy-vi-d19,VI.D19,Closure Sector (η-fiber),closure-sector-eta-fiber-vi-d19,/results/additional-noteworthy-results/life/closure-sector-eta-fiber-vi-d19/,life,related_existing_surface,medium,VI,1,8,definition,tau-effective,planned,/registry/object/VI.D19/,1
registry-noteworthy-vi-t07,VI.T07,Generator Adequacy at E₂,generator-adequacy-at-e2-vi-t07,/results/additional-noteworthy-results/life/generator-adequacy-at-e2-vi-t07/,life,related_existing_surface,high,VI,1,8,theorem,tau-effective,planned,/registry/object/VI.T07/,2
registry-noteworthy-vi-d21,VI.D21,NoDist,nodist-vi-d21,/results/additional-noteworthy-results/life/nodist-vi-d21/,life,related_existing_surface,high,VI,1,10,definition,tau-effective,planned,/registry/object/VI.D21/,6
registry-noteworthy-vi-p07,VI.P07,Calibration Constants,calibration-constants-vi-p07,/results/additional-noteworthy-results/life/calibration-constants-vi-p07/,life,related_existing_surface,high,VI,1,11,proposition,tau-effective,planned,/registry/object/VI.P07/,5
registry-noteworthy-vi-t16,VI.T16,Persistence as α-Base Stability,persistence-as-alpha-base-stability-vi-t16,/results/additional-noteworthy-results/life/persistence-as-alpha-base-stability-vi-t16/,life,related_existing_surface,high,VI,2,12,theorem,tau-effective,planned,/registry/object/VI.T16/,6
