id,construction_sequence,layer,book_id,part_number,title,url,chapter_count,registry_ref_count,taulib_ref_count,construction_step_ids
book-i-part-00-earned-foundations,1,mathematics,I,0,Earned Foundations,/corpus/monographs/book-i/part-00-earned-foundations/,1,0,1,CS-01;CS-02
book-i-part-01-the-coherence-kernel,2,mathematics,I,1,The Coherence Kernel,/corpus/monographs/book-i/part-01-the-coherence-kernel/,5,15,5,CS-01;CS-02
book-i-part-02-orbit-generation-and-ontic-closure,3,mathematics,I,2,Orbit Generation and Ontic Closure,/corpus/monographs/book-i/part-02-orbit-generation-and-ontic-closure/,4,9,5,CS-01;CS-02
book-i-part-03-the-denotational-bridge,4,mathematics,I,3,The Denotational Bridge,/corpus/monographs/book-i/part-03-the-denotational-bridge/,6,25,21,CS-01;CS-02
book-i-part-04-the-abcd-coordinate-chart,5,mathematics,I,4,The ABCD Coordinate Chart,/corpus/monographs/book-i/part-04-the-abcd-coordinate-chart/,5,11,12,CS-01;CS-02
book-i-part-05-hyperfactorization,6,mathematics,I,5,Hyperfactorization,/corpus/monographs/book-i/part-05-hyperfactorization/,5,4,8,CS-01;CS-02
book-i-part-06-the-prime-polarity-theorem,7,mathematics,I,6,The Prime Polarity Theorem,/corpus/monographs/book-i/part-06-the-prime-polarity-theorem/,2,1,2,CS-01;CS-02
book-i-part-07-omega-germs-the-algebraic-lemniscate,8,mathematics,I,7,Omega-Germs & the Algebraic Lemniscate,/corpus/monographs/book-i/part-07-omega-germs-the-algebraic-lemniscate/,4,8,20,CS-01;CS-02
book-i-part-08-the-spectral-ring,9,mathematics,I,8,The Spectral Ring,/corpus/monographs/book-i/part-08-the-spectral-ring/,4,1,3,CS-01;CS-02
book-i-part-09-earned-number-systems,10,mathematics,I,9,Earned Number Systems,/corpus/monographs/book-i/part-09-earned-number-systems/,4,3,3,CS-01;CS-02
book-i-part-10-lemniscate-characters,11,mathematics,I,10,Lemniscate Characters,/corpus/monographs/book-i/part-10-lemniscate-characters/,3,2,3,CS-01;CS-02
book-i-part-11-tau,12,mathematics,I,11,τ,/corpus/monographs/book-i/part-11-tau/,3,11,13,CS-01;CS-02
