id,slug,title,status_code,problem_ledger_ids,url
result-001,tau-kernel-coherence,The τ-Coherence Kernel: Seven Axioms on Five Generators,R,,/results/problem/tau-kernel-coherence/
result-002,hyperfactorization-theorem,Hyperfactorization: Every Object Has a Unique Canonical Normal Form,R,,/results/problem/hyperfactorization-theorem/
result-003,prime-polarity-theorem,Prime Polarity: Primes as Finite Witnesses of Infinity,R,,/results/problem/prime-polarity-theorem/
result-004,mutual-determination,Mutual Determination: Five Characterizations of Holomorphic Functions,R,,/results/problem/mutual-determination/
result-005,central-theorem,Central Theorem: O(τ³) ≅ A_spec(L),R,,/results/problem/central-theorem/
result-006,canonical-ladder-theorem,Canonical Ladder: E₀ ⊊ E₁ ⊊ E₂ ⊊ E₃ Is the Unique Maximal Enrichment Chain,R,,/results/problem/canonical-ladder-theorem/
result-007,hinge-theorem-no-knobs,Hinge Theorem: Books IV–VII Are Sector Instantiations of Book III,R,,/results/problem/hinge-theorem-no-knobs/
result-008,master-schema-millennium,Master Schema: All Eight Millennium Problems Are Instances of Mutual Determination,R,,/results/problem/master-schema-millennium/
result-009,three-generations-matter,Three Generations of Matter from H₁(τ³;ℤ) ≅ ℤ³,R,,/results/problem/three-generations-matter/
result-010,strong-cp-problem-solved,Strong CP Problem Solved: θ_QCD = 0 from SA-i Admissibility,R,,/results/problem/strong-cp-problem-solved/
result-011,w-boson-mass-prediction,W-Boson Mass Prediction at −0.5 ppm,R,,/results/problem/w-boson-mass-prediction/
result-012,higgs-mass-prediction,Higgs Boson Mass Prediction at +8.0 ppm,R,,/results/problem/higgs-mass-prediction/
result-013,three-colors-derived,Exactly Three Colors: N_c = 3 from Primorial Depth,R,,/results/problem/three-colors-derived/
result-014,tensor-to-scalar-ratio,Tensor-to-Scalar Ratio r = ι<sub>τ</sub>⁴ = 0.0136,R,,/results/problem/tensor-to-scalar-ratio/
result-015,no-dark-matter-particle,No Dark Matter Particle: Sector Exhaustion Theorem,R,phys-dark-matter,/results/problem/no-dark-matter-particle/
result-016,flat-rotation-curves,Flat Galaxy Rotation Curves from Capacity Gradient,R,phys-dark-matter phys-galaxy-rotation-problem,/results/problem/flat-rotation-curves/
result-017,no-singularity-theorem,No Singularity: Profinite Structure Blocks a → 0,R,,/results/problem/no-singularity-theorem/
result-018,vacuum-energy-zero,Vacuum Energy = 0: Cosmological Constant Problem Dissolved,R,,/results/problem/vacuum-energy-zero/
result-019,abiogenesis-inevitability,Abiogenesis Is Inevitable: Life Is a Thermodynamic Attractor,R,life-origin-of-life,/results/problem/abiogenesis-inevitability/
result-020,substrate-abstraction,Substrate Abstraction: The 5+3 Life Conditions Are Substrate-Free,R,,/results/problem/substrate-abstraction/
result-021,black-holes-alive,Black Holes Are Alive: BH Satisfies All 5+3 Conditions,R,,/results/problem/black-holes-alive/
result-022,stars-not-alive,Stars Are Not Alive: Quadrant III — Distinction Without SelfDesc,R,,/results/problem/stars-not-alive/
result-023,categorical-imperative-fixed-point,The Categorical Imperative Is the Unique j-Closed Fixed Point,R,,/results/problem/categorical-imperative-fixed-point/
result-024,saturation-theorem-no-e4,Saturation Theorem: The Enrichment Ladder Terminates at E₃,R,,/results/problem/saturation-theorem-no-e4/
result-025,consciousness-global-section,Consciousness Is a Global Section: Γ(Mind),P,life-consciousness,/results/problem/consciousness-global-section/
result-026,tau-inevitability,Inevitability: Six Ontic Requirements Force the τ-Kernel,R,,/results/problem/tau-inevitability/
result-027,global-hartogs-extension,Global Hartogs Extension: Boundary Determines Interior,R,,/results/problem/global-hartogs-extension/
result-028,tau-identity-theorem,Tau-Identity Theorem: Agreement at One Depth Implies Agreement Everywhere,R,,/results/problem/tau-identity-theorem/
result-029,fourth-quadrant-resolution,Fourth Quadrant Framework Account: QM and GR Unified in τ,R,,/results/problem/fourth-quadrant-resolution/
result-030,time-derivation-theorem,Time Derivation Theorem: Proper Time from K0–K6,R,,/results/problem/time-derivation-theorem/
result-031,no-bh-evaporation,No Black Hole Evaporation: dM/dn ≥ 0 and Information Preserved,C,,/results/problem/no-bh-evaporation/
result-032,lithium-7-problem-resolved,Li-7 Framework Account: ⁷Li/H via Fiber Suppression S = 1/3,R,phys-the-lithium-problem,/results/problem/lithium-7-problem-resolved/
result-033,koide-relation,Koide Relation at −9 ppm: Q = 2/3 from σ-Equivariant Mass Matrix,R,,/results/problem/koide-relation/
result-034,cabibbo-angle,Cabibbo Angle: sin θ_C = ι<sub>τ</sub>(1 − ι<sub>τ</sub>) at −2327 ppm,R,,/results/problem/cabibbo-angle/
result-035,weinberg-angle-nnlo,Weinberg Angle NNLO at −0.7 ppm,R,,/results/problem/weinberg-angle-nnlo/
result-036,yang-mills-mass-gap,Yang-Mills Mass Gap: δ∞^s > 0 Spectrally Isolated,P,,/results/problem/yang-mills-mass-gap/
result-037,cmb-first-peak,"CMB First Peak ℓ₁: LO at +2840 ppm, NLO at +69 ppm",R,,/results/problem/cmb-first-peak/
result-038,gravitational-constant-from-iota-tau,Gravitational Constant from ι<sub>τ</sub>: α_G at 3 ppm,R,,/results/problem/gravitational-constant-from-iota-tau/
result-039,arrow-of-time-orbit,Arrow of Time from Orbit Direction: Unique and Irreversible,R,,/results/problem/arrow-of-time-orbit/
result-040,parity-bridge-theorem,Parity Bridge Theorem: E₁ → 2_τ → E₂ Factors Through the Weak Sector,R,,/results/problem/parity-bridge-theorem/
result-041,seven-hallmarks-as-theorems,Seven Hallmarks of Life as Theorems,R,,/results/problem/seven-hallmarks-as-theorems/
result-042,layer-separation,Layer Separation: SelfDesc Is Unavailable at E₁,R,,/results/problem/layer-separation/
result-043,differentiation-irreversible,Differentiation Is Irreversible: Waddington Descent Monotone,R,,/results/problem/differentiation-irreversible/
result-044,goedel-avoidance,Gödel Avoidance: Five Mechanisms Prevent Diagonal Self-Negation in τ,R,,/results/problem/goedel-avoidance/
result-045,modal-logic-s4-theorem,Modal Logic S4 as Theorem: τ-Modal Operators and Kripke Soundness,R,,/results/problem/modal-logic-s4-theorem/
result-046,identity-as-nf-address-persistence,Identity as NF-Address Persistence: Personal Identity Across Change,R,,/results/problem/identity-as-nf-address-persistence/
result-047,free-will-as-branching,Free Will as Branching: Compatibilism Dissolved as Scale Confusion,R,life-biology-free-will life-neuroscience-free-will-particularly-the-neuroscience-of-free-will,/results/problem/free-will-as-branching/
result-048,proton-neutron-mass-difference,Proton-Neutron Mass Difference at +33 ppm,R,,/results/problem/proton-neutron-mass-difference/
result-049,baryogenesis-eta-b,Baryogenesis: η_B = α·ι<sub>τ</sub>¹⁵·(5/6) at −1%,R,,/results/problem/baryogenesis-eta-b/
result-050,tau-admissibility-collapse-p-np,τ-Admissibility Collapse: P = NP Within τ,Q,,/results/problem/tau-admissibility-collapse-p-np/
result-051,she-leveque-turbulence-exponents,She–Lévêque Turbulence Exponents Exact from τ³ Dimensions,R,,/results/problem/she-leveque-turbulence-exponents/
result-052,rydberg-constant-seven-significant-figures,Rydberg Constant at Seven Significant Figures from τ,R,,/results/problem/rydberg-constant-seven-significant-figures/
result-053,fine-structure-constant-alpha-inverse-137,Fine-Structure Constant α⁻¹ = 137.036 from ι<sub>τ</sub>,R,,/results/problem/fine-structure-constant-alpha-inverse-137/
result-054,electron-mass-0025-ppm,Electron Mass at 0.025 ppm: 10-Link Derivation from K0–K6,R,,/results/problem/electron-mass-0025-ppm/
result-055,spectral-index-ns-from-inflation,Spectral Index n_s = 1 – 2/N_e Derived from N_e = 57,P,,/results/problem/spectral-index-ns-from-inflation/
result-056,higgs-self-coupling-lambda-h-16-ppm,Higgs Self-Coupling λ_H = 0.12928 at +16 ppm,R,,/results/problem/higgs-self-coupling-lambda-h-16-ppm/
result-057,axial-coupling-g-a-5pt5-ppm,Axial Coupling g_A at +5.5 ppm via κ_D² /ι<sub>τ</sub> with CF Window NLO,R,,/results/problem/axial-coupling-g-a-5pt5-ppm/
result-058,cosmological-flatness-omega-k-zero,Cosmological Flatness Ω_k = 0 Exact from τ³ Compactness,R,,/results/problem/cosmological-flatness-omega-k-zero/
result-059,muon-anomalous-magnetic-moment-8pt8-ppm,Muon Anomalous Magnetic Moment a_μ at +8.8 ppm,R,,/results/problem/muon-anomalous-magnetic-moment-8pt8-ppm/
